"image_file","target"
"a1","A"
"a2","A"
"a3","A"
"a4","A"
"a5","A"
"a6","A"
"a7","A"
"a8","A"
"a9","A"
"a10","A"
"a11","A"
"a12","A"
"a13","A"
"a14","A"
"a15","A"
"a16","A"
"a17","A"
"a18","A"
"a19","A"
"a20","A"
"a21","A"
"a22","A"
"a23","A"
"a24","A"
"b1","B"
"b2","B"
"b3","B"
"b4","B"
"b5","B"
"b6","B"
"b7","B"
"b8","B"
"b9","B"
"b10","B"
"b11","B"
"b12","B"
"b13","B"
"b14","B"
"b15","B"
"b16","B"
"b17","B"
"b18","B"
"b19","B"
"b20","B"
"b21","B"
"b22","B"
"b23","B"
"b24","B"
"c1","C"
"c2","C"
"c3","C"
"c4","C"
"c5","C"
"c6","C"
"c7","C"
"c8","C"
"c9","C"
"c10","C"
"c11","C"
"c12","C"
"c13","C"
"c14","C"
"c15","C"
"c16","C"
"c17","C"
"c18","C"
"c19","C"
"c20","C"
"c21","C"
"c22","C"
"c23","C"
"c24","C"
"d1","D"
"d2","D"
"d3","D"
"d4","D"
"d5","D"
"d6","D"
"d7","D"
"d8","D"
"d9","D"
"d10","D"
"d11","D"
"d12","D"
"d13","D"
"d14","D"
"d15","D"
"d16","D"
"d17","D"
"d18","D"
"d19","D"
"d20","D"
"d21","D"
"d22","D"
"d23","D"
"d24","D"
"e1","E"
"e2","E"
"e3","E"
"e4","E"
"e5","E"
"e6","E"
"e7","E"
"e8","E"
"e9","E"
"e10","E"
"e11","E"
"e12","E"
"e13","E"
"e14","E"
"e15","E"
"e16","E"
"e17","E"
"e18","E"
"e19","E"
"e20","E"
"e21","E"
"e22","E"
"e23","E"
"e24","E"